===== 人体尺度 =====
--p20(印4)--
>> 我国成年人体主要参考尺度见表1-1～表1-8。
>> **表1-1 我国成年人体主要参考尺度（男）**
| 测量项目 | 位数 | 18~60岁 | 18~25岁 | 26~35岁 | 36~60岁 |
|  | P5 | 311 | 317 |
|  | P10 | 318 | 325 |
|  | P50 | 345 | 353 |
|  | P90 | 372 | 382 |
|  | P95 | 381 | 390 |
|  | P99 | 398 | 411 |
| 坐姿两肘间宽 | P1 | 331 | 344 |
|  | P5 | 352 | 367 |
|  | P10 | 362 | 379 |
|  | P50 | 404 | 427 |
|  | P90 | 453 | 481 |
|  | P95 | 469 | 496 |
|  | P99 | 500 | 526 |
| 胸围 | P1 | 718 | 724 |
|  | P5 | 747 | 760 |
|  | P10 | 762 | 780 |
|  | P50 | 823 | 859 |
|  | P90 | 907 | 955 |
|  | P95 | 934 | 986 |
|  | P99 | 988 | 1036 |
| 腰围 | P1 | 636 | 661 |
|  | P5 | 672 | 704 |
|  | P10 | 691 | 728 |
|  | P50 | 775 | 836 |
